Wall time,Step,Value
1770578135.641861,100,-4.080580234527588
1770578137.0672483,200,-5.834320545196533
1770578138.5100875,300,-8.075982093811035
1770578139.9486003,400,-9.248379707336426
1770578141.3915472,500,-10.0355863571167
1770578142.8554304,600,-12.015442848205566
1770578144.3035522,700,-12.907793045043945
1770578145.743868,800,-13.751005172729492
1770578147.1747384,900,-13.594622611999512
1770578148.6137662,1000,-15.301066398620605
1770578150.0399384,1100,-11.923198699951172
1770578151.5156465,1200,-12.530155181884766
1770578152.9675844,1300,-13.647110939025879
1770578154.4228382,1400,-13.991440773010254
1770578155.878557,1500,-14.078155517578125
1770578157.3161511,1600,-14.165631294250488
1770578158.7677076,1700,-13.926806449890137
1770578160.2418828,1800,-14.598827362060547
1770578161.6931832,1900,-15.039752006530762
1770578163.145407,2000,-15.3422212600708
1770578164.593701,2100,-13.65318489074707
1770578166.0520213,2200,-14.490216255187988
1770578167.5019531,2300,-15.487603187561035
1770578168.9846518,2400,-15.306694984436035
1770578170.4316142,2500,-14.059516906738281
1770578171.8909245,2600,-14.944148063659668
1770578173.3486772,2700,-15.209857940673828
1770578174.7936196,2800,-14.113277435302734
1770578176.245858,2900,-16.07880973815918
1770578177.7229388,3000,-15.716888427734375
1770578179.1667473,3100,-14.992838859558105
1770578180.615884,3200,-15.310993194580078
1770578182.0796688,3300,-15.290550231933594
1770578183.525444,3400,-15.6835355758667
1770578184.9783223,3500,-14.733291625976562
1770578186.4588819,3600,-15.456557273864746
1770578187.9125996,3700,-15.131226539611816
1770578189.3655996,3800,-14.59939956665039
1770578190.8149142,3900,-14.85743236541748
1770578192.2652004,4000,-15.447587966918945
1770578193.7207386,4100,-15.031844139099121
1770578195.1971788,4200,-15.031767845153809
1770578196.659545,4300,-15.144740104675293
1770578198.1014025,4400,-15.335705757141113
1770578199.544698,4500,-16.19763946533203
1770578200.9894595,4600,-15.873428344726562
1770578202.4360967,4700,-15.3820161819458
1770578203.9140406,4800,-16.455547332763672
