Step,Value,Wall time
100,-5.4583587646484375,1776916773.9119735
200,-7.929073333740234,1776916776.9082816
300,-11.495631217956543,1776916779.5180151
400,-14.737926483154297,1776916782.2082183
500,-17.602962493896484,1776916784.7697375
600,-19.199201583862305,1776916787.3696046
700,-19.687435150146484,1776916789.8453095
800,-14.623598098754883,1776916792.422987
900,-20.24048614501953,1776916795.2336493
1000,-19.931034088134766,1776916797.9451258
1100,-15.960996627807617,1776916800.5355961
1200,-8.819579124450684,1776916803.636421
1300,-8.165346145629883,1776916806.5823507
1400,-3.5499165058135986,1776916809.3849277
1500,-3.2413806915283203,1776916811.9808764
1600,18.615577697753906,1776916814.6614892
1700,-3.2342326641082764,1776916817.157374
1800,10.474205017089844,1776916819.7654765
1900,2.761727809906006,1776916822.3409746
2000,-0.09008393436670303,1776916825.1163402
2100,2.7521448135375977,1776916827.7978144
2200,4.955496788024902,1776916830.9042861
2300,4.346269607543945,1776916834.094595
2400,0.24756629765033722,1776916837.2389746
2500,0.12759310007095337,1776916840.0459926
2600,-0.2597270607948303,1776916842.8691132
2700,-3.2760696411132812,1776916845.5438213
2800,4.552947998046875,1776916848.1174004
2900,9.738030433654785,1776916850.8011441
3000,8.222454071044922,1776916853.613121
3100,7.105312347412109,1776916856.6308312
3200,9.786893844604492,1776916859.804349
3300,9.42635440826416,1776916862.7074332
3400,7.8719868659973145,1776916865.6582592
3500,6.677304744720459,1776916868.4558935
3600,8.267128944396973,1776916871.4163048
3700,6.677964210510254,1776916874.0468695
3800,4.017026901245117,1776916876.6833532
3900,13.19644546508789,1776916879.3321347
4000,9.152238845825195,1776916882.2458906
4100,10.044835090637207,1776916885.0967655
4200,10.614538192749023,1776916888.1312983
4300,11.161993026733398,1776916890.9691365
4400,11.79592514038086,1776916893.9801793
4500,10.959809303283691,1776916896.8614087
4600,11.31148910522461,1776916899.690184
4700,10.158984184265137,1776916902.3542798
4800,9.216813087463379,1776916904.9167097
