Wall time,Step,Value
1774229040.0635219,100,38.4107666015625
1774229055.057536,200,56.88018798828125
1774229069.9737368,300,41.32426071166992
1774229084.862845,400,30.845500946044922
1774229099.7440076,500,35.09619903564453
1774229114.6015823,600,40.85499954223633
1774229129.4338562,700,51.85384750366211
1774229144.3058343,800,79.24495697021484
1774229159.1477332,900,142.1557159423828
1774229174.0282352,1000,194.21734619140625
1774229188.880145,1100,230.6932373046875
1774229203.7540607,1200,248.28855895996094
1774229218.6150005,1300,287.2445068359375
1774229233.4608672,1400,358.2102966308594
1774229248.282663,1500,415.5755920410156
1774229263.1544821,1600,456.9554443359375
1774229278.0105922,1700,518.8034057617188
1774229292.8590534,1800,548.1917724609375
1774229307.7104878,1900,611.47216796875
1774229322.598206,2000,628.4813232421875
1774229337.4160624,2100,760.2171630859375
1774229352.2829697,2200,729.832275390625
1774229367.1128018,2300,687.6033935546875
1774229381.931869,2400,831.5824584960938
1774229396.77791,2500,827.9064331054688
1774229411.6298592,2600,804.5048828125
1774229426.4635634,2700,735.89111328125
1774229441.311968,2800,800.9463500976562
1774229456.1478693,2900,830.4798583984375
1774229471.0259707,3000,793.604736328125
1774229485.8673,3100,845.37060546875
1774229500.7074203,3200,899.9762573242188
1774229515.5503085,3300,909.2623291015625
1774229530.393208,3400,843.434814453125
1774229545.0627625,3500,888.9057006835938
1774229559.6187847,3600,918.9202880859375
1774229574.428599,3700,907.0962524414062
1774229589.263225,3800,873.0355834960938
1774229604.1167874,3900,858.4598388671875
1774229618.9981997,4000,909.9796142578125
